similarities
42 3968 9896 9670 3096 3739 3327 6476 5884 1186 9902 6557 10142 9129 3095 7282 4277 6411 6224 1877 1638 8229 4611 7935 1097 9298 7591 9596 5190 423
43 2168 4485 2442 5355 1565 4098 3030 9245 154 932 1721 4255 1415 3249 8306 4319 6409 162 7293 5434 8853 5180 5395 5549 4239 9200 8506 3394 3781
44 8231 9157 8723 7576 8764 3636 1487 7540 9969 10266 9772 2194 748 1488 4812 6725 7445 1850 1490 3301 6164 5750 7308 4416 5947 1239 3969 10215 4057
45 7354 1208 6718 2887 5575 6877 5454 6540 4902 509 1652 4469 5150 1033 701 7503 8654 1065 1107 7193 3380 5612 8475 9335 3089 5561 4386 3046 1322
46 8901 2544 2465 7805 8024 6109 1918 10110 6657 5570 8273 4320 3547 10513 5881 1452 335 7285 1741 2834 3498 744 6378 6022 9644 2783 10252 2315 3318
47 4694 2156 4695 1463 230 6725 1622 7958 10027 7195 156 1267 4160 2718 3609 6774 2098 9612 4648 7658 5715 1263 7977 199 4647 3585 5921 40 9189
48 5299 7460 418 1762 8318 2840 8896 654 2780 4678 8535 2969 1246 4463 4260 345 2413 4789 4839 5927 3165 1317 7076 10290 6239 6016 5754 5740 7039
49 9405 6856 6852 954 863 4125 616 4865 5460 862 3085 5618 4271 6762 7114 6026 9691 4300 10267 1745 8104 6239 2351 2087 10095 9569 10326 8568 839
50 10103 745 4033 6720 79 6392 10533 2298 7035 5596 9989 1859 10209 2104 180 5695 8331 988 695 3130 8356 7927 10160 6328 9856 1579 294 9793 5435
51 10456 2720 4692 1840 6360 5868 3757 3306 331 10166 7678 580 3467 2388 1741 1211 9392 9245 8584 2195 7246 9097 9238 3494 10089 9062 6756 3995 3785
52 8526 6112 10110 9213 9960 8179 3292 10470 4422 3564 3612 7591 7035 4621 3456 8098 1798 7226 3556 6206 3872 2882 9624 1796 2096 893 10591 8030 7942
53 2662 591 8338 7602 3396 314 6534 3959 5456 2319 4313 3993 511 8515 853 2827 1067 1237 2686 6631 1247 468 8922 6805 10194 3992 3680 4438 2590
54 5936 6744 5122 3861 10117 9828 5566 6749 6382 4273 5826 3195 8971 10219 6630 8093 1177 5311 3605 5209 5138 3528 6418 5307 8028 8493 3636 3395 2733
55 6398 5429 3918 6626 9191 4201 8088 10102 106 2342 2898 8578 8416 7956 8878 6934 10445 4853 10229 7278 4636 4132 2145 7925 10187 3209 3977 7119 9699
56 9760 8747 9050 10549 7720 82 4058 190 9439 5065 5437 7546 3458 2637 1334 1920 1431 3572 6762 2126 918 8482 10329 4560 7923 7318 365 4188 207
